"FirstName","LastName","Subject1","Subject2","Subject3","Subject4","Subject5","AverageMarks"
"ZoOPGK27Dr","bRYzg","70","83","31","81","85","70"
"ujN4drtWSh","Idx0q","25","19","63","24","88","43"
"T7TVDkHKJl","eIk0C","13","59","0","67","7","29"
"EyD5oGp2xP","fz6n4","8","76","16","17","70","37"
"TuFFq3FMAn","Py9Vo","89","59","94","81","86","81"
"NQSjrF1JUs","q0NZB","39","11","59","24","81","42"
"vO6nEPvJQ8","TFZr8","33","84","67","96","18","59"
"NsuFTzCEfO","rW11f","14","46","77","18","59","42"
"6sZRxVDs5B","BEfsz","2","85","48","11","44","38"
"OqE1l0vtj5","r9FK4","21","53","46","75","39","46"
"E7ehVYznXx","4QeZG","74","15","69","66","19","48"
"dh1QV0O6qz","dk1VD","89","99","92","78","85","88"
"eMxRnDJP5P","1O10K","28","38","92","2","49","41"
"eg8RW3uX2O","CRa1H","94","54","9","22","89","53"
"dBjkLKMqzB","0foSQ","15","54","30","10","46","31"
"DP3Q7RMPFT","YK7M6","46","100","65","88","16","63"
"NUEKoAk0IE","13tkJ","34","88","84","97","19","64"
"eZQMCHUojo","Jkzvd","90","50","95","94","15","68"
"8tynpiMHlU","pBKjg","2","56","21","45","14","27"
"uQ49zELItI","UdVtI","97","32","67","65","28","57"
"Of0DXPixUT","1lnaq","85","87","87","71","51","76"
"9aRP558DjT","bhY5F","68","21","84","80","51","60"
"hJvjnYs1c1","xvxcP","8","87","18","83","42","47"
"v9jvEUv2Rf","PQiI5","42","8","19","59","50","35"
"TU3CF7WRrR","c6uel","87","52","1","4","75","43"
"mFBNBWDe3i","vJtuv","78","53","42","32","31","47"
"bMGIr74e21","lQ526","20","87","89","16","0","42"
"eaDe5WcMcO","Y8ul6","75","50","59","89","99","74"
"49aNL4Df9M","vPZxW","69","75","65","32","63","60"
"rRrUztFKX6","3Y14q","35","0","71","100","76","56"
"GGxQYdMq0s","Uvgh8","86","99","47","8","50","58"
"tbEETCG87G","jYq98","92","92","44","54","61","68"
"3zkMR1cfFZ","MPJA9","69","26","32","46","57","46"
"kQ9voKQ2H9","BNFXJ","47","95","24","75","37","55"
"gNQnK5Lgpq","QoU5s","86","98","44","57","3","57"
"YcOIHHLxWE","XTv5x","100","57","48","78","70","70"
"edFoMWcjjk","vYx2P","52","81","29","80","32","54"
"2kZrUtDCJt","8IEgo","54","47","39","0","59","39"
"zUADjdYGd3","3ORnu","79","86","25","73","76","67"
"CxyQNdLHWE","5NE1J","46","58","87","27","20","47"
"8epUH5ThEt","Lrpco","31","41","84","38","88","56"
"gFEJMyJ76o","zETTX","18","7","34","66","19","28"
"f16lN9gu8Z","y6Qp7","51","99","17","21","61","49"
"7QlZLc9ig4","QjO9t","36","65","43","64","87","59"
"CpKboGYPWg","OMTOf","29","89","24","20","82","48"
"up5OGMpMVE","yvf8J","28","8","6","70","82","38"
"hpP44edDhu","mGTyx","51","68","89","84","96","77"
"fY6MFzqLC9","SfEDQ","83","95","16","71","80","69"
"ylaF2aePr1","SC4QB","35","19","71","80","78","56"
"6aX5vlGZ4D","cld14","51","69","11","76","15","44"
"trd5C8d2zr","ThHvA","37","94","34","81","45","58"
"lh9XQnYsA4","SOK2a","27","84","73","6","95","57"
"dAAaGRPJDU","AWTCO","3","17","76","75","43","42"
"UZY56MtYDW","4dirW","100","83","35","31","46","59"
"uEjTATydoO","UEr83","88","80","43","16","87","62"
"vLJWlhm9T2","z31W0","8","69","25","44","10","31"
"7eYptStJZg","s0cMo","53","10","72","65","63","52"
"EPZSc8FuzO","VEYXr","48","66","49","82","58","60"
"5vylGHrGng","nmF9C","45","74","78","85","6","57"
"8x3ITexO5b","NUCrP","97","48","2","30","81","51"
"ECRyQrk581","hCZIu","100","64","62","94","1","64"
"3JU4T8XB6R","L6ivJ","61","93","58","46","30","57"
"HE5b3beJbb","OfsLG","12","72","44","94","91","62"
"ZjVDyqkJaq","gxYNL","74","66","60","29","64","58"
"1ojdUMLbgT","ndhLM","94","55","14","14","75","50"
"Nad8apPqlR","FHZGR","78","83","30","87","37","63"
"vrpjctvkqH","eMRfV","83","32","75","54","45","57"
"EbRMOy7ZS4","4evPc","85","62","73","93","55","73"
"cKDP9XIGSW","MlpS5","97","85","8","4","79","54"
"RTGlcvgbAG","T0gR1","98","88","23","38","65","62"
"MnAxPLioLd","16qhI","30","43","96","85","92","69"
"EbDavey8Er","YHiEg","24","50","74","7","57","42"
"2XLaoHbsYL","lOU9q","49","73","77","28","24","50"
"5WjTzcq4Pp","Qe77K","31","17","87","43","1","35"
"pGyTyylQT3","865f9","22","9","12","89","5","27"
"MsDq8Otjmi","AKr6j","7","68","70","76","46","53"
"i7hhPX4JxZ","LgzFE","93","91","4","80","30","59"
"XnBM6xhi9q","8rkTl","49","75","68","35","42","53"
"4rfxVujmVm","e6ehc","99","94","76","35","26","66"
"97tqQfaCSa","9turb","67","45","5","68","84","53"
"4hbQomdOkx","pCmjr","71","74","21","75","19","52"
"u6aLV50g8S","H0YfA","95","25","86","26","69","60"
"ACRgX0aUBk","jtTs8","76","64","74","14","2","46"
"vxjk3qqMYy","o0yKv","38","48","11","6","23","25"
"0B2xnKS453","jAxWg","91","75","51","33","76","65"
"EauaZ4vC4Y","VcB9m","100","73","15","50","43","56"
"vTvt2dqJJD","60nxk","15","10","90","12","20","29"
"eyBAECcczX","NlfFO","69","44","85","32","54","56"
"SZc89bgE5j","Jkhkg","66","96","54","96","5","63"
"ttaJKCEBsI","PeUcH","55","79","36","8","74","50"
"oIuPuWDkH1","XbPRk","8","62","0","39","60","33"
"y0qlGbVjZT","Y4HTF","16","41","69","93","49","53"
"0PluanHiVx","TeWIf","10","59","28","41","51","37"
"4R8crNAd9t","e1esJ","94","83","96","72","97","88"
"0kOjsOFT7r","G9lW4","38","71","39","87","40","55"
"ucqZTDx8CK","E65Pu","75","45","57","12","51","48"
"36SehqAXSL","zqAUO","23","64","2","37","25","30"
"aoBcuXLNHX","ZEjG3","25","62","28","80","31","45"
"gG38kyhzu6","GEZ3C","58","99","84","44","86","74"
"5IaKxR7kIo","tej1J","81","94","0","93","52","64"
"FAPr6Uasil","oU47f","21","72","89","85","83","70"
"xsNBmO6bu3","mAWB7","78","98","98","97","52","84"
"cpZQzpuf3Y","6yhBV","30","73","29","31","84","49"
"g4ZB4BfpnW","FRlZg","57","9","39","89","21","43"
"kuEWMug1Kf","x7JqR","61","84","24","7","15","38"
"0HrhKJRv92","8t3IF","98","83","91","75","31","75"
"xV8k7BdmCs","ntLsb","100","41","74","0","67","56"
"YOErfgWsU1","kiqzu","29","28","28","11","23","23"
"ngkyKLiO1u","CcdKT","9","46","77","23","93","49"
"fG8v8NAutG","cMs4C","57","29","35","66","96","56"
"mk4bf3DXFs","B1R77","22","94","91","49","83","67"
"Yubh0SgPaj","KriJG","85","45","100","15","85","66"
"0Dz53zKh0t","dLdyR","2","48","39","64","14","33"
"pTjqFaMhNK","ISezO","17","18","73","40","58","41"
"rr2KN4XQjq","nVUPS","22","95","19","4","90","46"
"YYxLGnICoF","bYZ0C","0","40","17","8","46","22"
"jQckxzOMov","M8e8B","59","45","78","84","21","57"
"b3hjk9K0Xk","E9xcd","95","58","49","50","69","64"
"APYyVmY8KZ","CUskW","10","68","32","20","39","33"
"pFzH495Y3e","LRHfZ","16","17","59","47","70","41"
"JpHstpize6","MqdGG","73","77","85","12","6","50"
"VKI5Dx0FvD","atdWW","90","75","61","15","30","54"
"xIRCt1IIbx","ExMVB","32","100","31","42","87","58"
"q1K7YN9d2u","Uxn5P","80","22","0","49","35","37"
"8NULl3Znms","vOlCx","67","10","78","89","88","66"
"dFenqC0RJs","bHXqK","18","13","27","39","33","26"
"cbJ1vG4aAk","jEzYl","71","95","14","85","83","69"
"Ead9p5UKX7","IbjHA","26","80","21","98","78","60"
"uvSHUBYsDQ","5JB1T","24","77","99","49","85","66"
"pUvTdFlLIo","NnSot","3","79","8","48","68","41"
"90IhIOGHVE","sXTA1","85","46","70","80","4","57"
"4DzlgpyLOE","0Oiiu","40","6","15","64","23","29"
"dtTdhmDN12","ZlnhZ","78","37","66","95","56","66"
"B0pnSSi1gy","VO0SQ","67","76","53","69","45","62"
"vMT0PevlTh","gXqWM","2","67","48","38","55","42"
"Q3UZK7XTLd","gvZTv","47","38","25","15","67","38"
"VEDzDEC5zG","WT8G8","84","34","26","9","38","38"
"CWGToTPS7P","M6358","85","96","97","24","90","78"
"gRdtXuPlxg","9dIOG","41","22","56","76","5","40"
"6nRSgqaxeX","fjMJn","92","40","74","46","47","59"
"ZJz2Cpg0dS","fbVkV","46","77","53","63","46","57"
"tYAErIZ9F7","Fx2cl","47","4","79","68","60","51"
"Iv8s5MPL4X","oZWyk","96","32","26","60","15","45"
"BPyW5q312v","tlM7t","40","29","26","90","63","49"
"EomzxOgVmn","y8W3Q","29","18","51","57","73","45"
"Ttf7ScMx0K","r4jGf","72","68","20","33","24","43"
"yQkTesI3H6","h2Dl4","45","78","13","19","83","47"
"z8Irlr4G28","sEsWE","70","79","48","63","83","68"
"zBG5cHC0xi","Ur4zF","21","57","8","61","55","40"
"ZmSRN9eGPR","o3lCP","29","91","18","32","68","47"
"0S9MUkrjGz","9VP76","27","69","68","67","77","61"
"hYOXWroEH0","K7mkT","92","35","94","81","0","60"
"a7PExPO0qg","mcfy4","86","29","51","89","42","59"
"lMzpTBfEkh","PbYvB","20","81","98","53","60","62"
"Ezf3cnLakS","Qsgnf","32","20","29","96","7","36"
"Sq9XLZWs54","Hehi5","44","12","91","4","86","47"
"AuVCUdo3r7","YH8a4","61","34","40","72","14","44"
"ekcZc1q602","Urkcq","62","35","77","21","45","48"
"8WNDee4efm","1F0VK","72","92","99","85","64","82"
"QA69HcKE09","4XMsl","35","11","49","71","78","48"
"S7Qd82Lora","2ciqJ","52","49","82","65","21","53"
"YpMo5GHXxs","sEk6e","28","51","2","57","5","28"
"MYPmeizBxl","YO2ts","57","33","39","74","0","40"
"Llfy79lMrt","vd6vH","49","5","75","44","70","48"
"mvItoLeaON","2TRPI","67","69","80","49","62","65"
"LjRsIJ1Dt6","LDPAZ","5","51","90","85","34","53"
"ZPreNo9AdM","cYjal","51","89","46","54","94","66"
"LgH49jBQ0C","xMj5a","97","52","9","49","47","50"
"75bpsMpQ3L","IIC11","48","38","85","72","88","66"
"ievTIBONdZ","raaNN","89","44","28","53","87","60"
"vKVr09ExEM","DMSSb","46","17","46","21","31","32"
"eAk0cydTUI","FDWgm","42","75","61","34","5","43"
"jSfxcjU0tN","GyFRy","45","21","5","81","47","39"
"d7lAobsVuK","pEHAg","2","92","2","5","48","29"
"BgHMDUK5bU","uBjqA","98","69","71","53","88","75"
"dja8vYVYSc","0CJkm","63","70","74","10","27","48"
"WOQGiSaHAY","t7q81","88","43","12","100","44","57"
"6AYm48D0jd","IfrIR","65","15","71","46","66","52"
"S9iK9lklHh","ORiQl","87","65","55","41","30","55"
"1DCnTxqvyR","VQ8l0","91","83","86","21","42","64"
"sUVc0PRVif","1igWA","93","82","90","89","56","82"
"hhzdW7xhvS","D7OnC","66","4","64","77","5","43"
"hzb9XIupsc","CVvb1","48","50","12","51","1","32"
"C61qpiQPN7","a6EXK","82","7","22","89","37","47"
"E7ssxCc38Q","gaqHI","80","33","95","53","51","62"
"qN1P9719ry","zQpXK","97","72","38","18","79","60"
"C2xlfGVYVQ","L0EzP","21","45","35","37","43","36"
"9oWMpBV5E4","9c0RG","76","59","80","89","58","72"
"n0Nt69UadO","HtzJ0","12","16","61","42","67","39"
"KE2KpDOVFa","d13SK","92","5","50","100","80","65"
"6EMUeLXlJo","xGLKK","63","62","67","84","88","72"
"hMIGjRPyYq","HigKg","79","69","47","8","57","52"
"P40gPLcfVq","IPIC4","51","65","10","82","95","60"
"WVMNE1fYrP","vbL1l","22","67","86","43","6","44"
"J1l30x7iJg","DsGX6","87","28","8","2","98","44"
"IYRzT7KbSg","K1DHb","30","49","10","24","34","29"
"kZuZeidyNM","WbFYq","42","44","4","9","21","24"
"WbC9mMrArG","SFN7Q","100","87","9","4","83","56"
"vuWrzeay8I","eXSfb","66","75","89","55","73","71"
"o5HrcxUpTO","MLi8M","4","82","4","67","18","35"
"JoKVxVBxM8","tiZ4u","98","68","3","39","75","56"
"lHiC2QS9fg","fV6zp","35","12","74","20","68","41"
"o46KKgJWMx","gYg0m","62","28","67","32","99","57"
"2FQH4fAqIR","7GUjO","91","82","43","9","52","55"
"zFenCUxbQx","0nfQt","25","33","77","26","32","38"
"saiz8MdiNK","oSohQ","0","42","39","2","69","30"
"kJluc4ojsg","Isy6j","14","62","11","62","72","44"
"fIUJjylDSq","QR89M","6","80","95","35","11","45"
"Aar8MbRTZa","Pv3Ov","52","57","8","65","24","41"
"gJz69fT9Zo","0vOd1","57","19","58","38","36","41"
"UexUaRtalm","h9taF","56","69","1","65","54","49"
"0dYhh8sr0T","H8QNl","89","73","38","38","21","51"
"2Db4aWIyo4","Nublz","90","31","55","88","8","54"
"XrmSn9Hz59","5BdB3","80","16","78","52","66","58"
"XxNOtMcNEQ","36zvR","92","74","3","48","16","46"
"IrrxnPquQi","xfirD","23","10","65","93","23","42"
"sNQcVU8mkl","guyQF","92","73","8","92","40","61"
"e2IbH07ygn","5LZV9","44","66","95","56","83","68"
"2BNxeRkh11","n6R8m","4","80","75","43","11","42"
"DvBzKlH5Yo","Rv8Zm","51","37","61","62","25","47"
"cm207HmPSY","JZjdT","63","7","1","71","5","29"
"m7IEVeQDQA","qvCLX","17","92","32","66","29","47"
"ILn6OsIdyJ","XJ6n2","21","48","42","79","19","41"
"T4q0YvxSjG","TN8KX","7","72","36","76","1","38"
"g9f3eR1nr2","FpPmG","54","36","18","78","56","48"
"WJy7kuRpRx","EKDgN","9","85","76","16","41","45"
"CCJapvNXqq","YoVMX","6","13","3","4","39","13"
"TbpU1B24i2","u6Y7E","40","45","29","48","93","51"
"9vNVIZUmst","UnCVP","6","36","59","81","5","37"
"ijqkMWL4hb","Y7ori","24","81","22","28","23","35"
"zkOj59dFX0","r6snl","16","38","10","41","51","31"
"b8gE4RpJMM","WtIqe","68","72","63","60","36","59"
"T4FyJyNslr","qtgWU","90","45","92","65","27","63"
"NZbFOFK2t6","HVed1","78","79","91","82","7","67"
"gAkdbdA4up","T6YpZ","79","90","72","93","14","69"
"RJPfKDbCBS","qt7t5","6","87","75","81","2","50"
"1xUGgGMzVV","ttsVm","81","88","72","17","15","54"
"FiKFuPGElC","BVpbn","9","62","51","43","24","37"
"6Q41ieWOKV","OfVkI","40","71","29","72","50","52"
"pbXI1cR45M","lR1sI","43","8","2","65","74","38"
"R0OXlQG9c8","7oIPY","39","78","49","61","46","54"
"IhbIkaVVQn","tut6x","63","63","10","93","48","55"
"zlABI7EELj","Ei4ej","32","62","70","100","48","62"
"1NoFItsyYu","oZcuA","77","71","36","73","6","52"
"CmxUslUWog","iMjf0","27","61","29","72","99","57"
"CT0nGeemW2","MVqkH","67","28","9","10","54","33"
"Iqm8gl16uC","LUXJL","4","26","1","9","61","20"
"l5P4Alu7k2","osrvx","100","82","27","82","54","69"
"VZGKnLtbsM","7U8JJ","24","37","39","47","83","46"
"6RC2lKoV6T","ZYfIi","70","28","96","58","51","60"
"hqnvN3d70O","ACo2A","81","15","59","28","29","42"
"QHIg0RMB0n","4mdSm","58","48","74","9","72","52"
"bEbWTgriI7","NdsfH","83","26","34","50","23","43"
"GX94PSYQiK","ppguF","91","66","91","22","32","60"
"W08WRmU5a3","VlyGy","82","46","90","68","86","74"
"oPr6k8NGTA","hJng7","45","29","48","31","70","44"
"bOdD7GrW77","GDGHk","80","9","18","11","49","33"
"ctEnsLINlX","I6TOu","18","33","36","58","90","47"
"X8Tz9LiQ7X","xbIfT","69","80","57","81","95","76"
"EgmjCVNNSv","tHtft","73","56","12","13","63","43"
"GYsTJGKsGI","679Fe","14","7","99","10","42","34"
"8lhtoB7RQz","DT82O","18","60","41","85","57","52"
"frBceHR47f","zoUWk","54","61","20","38","72","49"
"zgP0hbsNBN","vWebQ","81","81","71","37","57","65"
"eufMHzm3jh","b8OcO","97","50","57","4","88","59"
"yleNxeLNux","IYDOM","100","18","4","88","13","44"
"I9Z3QbkLey","CP94U","31","75","50","70","29","51"
"GMjx35pnKb","ABxPz","20","90","8","39","37","38"
"1qd9UdDWVo","tmWSJ","82","73","59","41","91","69"
"KXsL5jBa21","1jiU1","89","16","34","71","11","44"
"WofFuMGVkD","sFoiG","76","49","2","18","17","32"
"GrJeL42Blm","HDzeR","73","47","72","37","100","65"
"MVKomDVp4e","GfOGB","99","0","72","22","87","56"
"Nm72dQ2Jo8","WlsIG","52","46","46","14","71","45"
"ih2DVf4r3C","lliZZ","66","82","35","64","81","65"
"tinLtlsKs6","7DypR","53","1","35","88","69","49"
"NtRVhEP1He","YUjsq","23","68","26","50","18","37"
"A4UkokfFFj","1GTH7","36","20","65","88","93","60"
"j6RMvWRfXN","a4BaQ","68","15","85","60","7","47"
"SUsfyyExUE","t3x9i","41","25","4","8","72","30"
"dS8sLckkrA","CKy5u","42","21","84","16","18","36"
"JD3BCmW77i","Kh1ii","59","68","88","61","47","64"
"rrV2AHMnAj","YflzI","46","32","80","43","8","41"
"sf4SRFEHpN","LYRIs","93","18","7","49","97","52"
"4YQdePH58R","atr0M","68","60","52","88","41","61"
"aZhHtPqCeQ","AC7YK","5","12","72","78","69","47"
"8stEXoQIYt","sGLop","36","99","25","47","72","55"
"hkJy9b6HPY","S3BJD","88","37","26","22","99","54"
"N7aLDK8TLx","Q0jPT","38","56","99","23","8","44"
"x4hxajpFAU","I2SAi","84","11","70","20","35","44"
"mWjf8fGlRX","WCOeA","46","30","10","95","56","47"
"H9yNtEK2H6","okKNQ","56","93","15","72","0","47"
"yuEUmZgaFD","utl5F","70","14","20","92","11","41"
"0QkC8zIkLK","8sBSn","88","88","89","42","54","72"
"hyZdLvvGiE","0Dvq5","14","3","96","97","64","54"
"ZANPC9fxRq","C2otf","38","81","54","23","38","46"
"NWL8MinLdb","Uh9Z5","0","17","11","22","17","13"
"kyhWTMTYla","C82s3","14","1","8","90","26","27"
"AVaPI4zdak","Qf5L2","100","93","24","23","44","56"
"6F4SLu3gy8","NbzRD","20","71","95","51","99","67"
"UTIbE6pJH0","xhdA1","73","97","74","55","29","65"
"5HKAdZSVHX","IyTQF","89","30","12","89","21","48"
"J3DLBo42X2","isEDP","29","53","6","86","76","50"
"hIYybfyDnV","Vm2xu","13","25","40","36","100","42"
"ZKe362UXG1","zUiE5","22","1","43","20","62","29"
"0XInNzmsPu","PKHL9","45","92","82","29","29","55"
"2dspMoLYpg","r3HuF","76","21","32","90","91","62"
"ISnC7g8HWk","q8YdA","1","91","15","45","72","44"
"uaPczJnIy9","CBYcz","96","93","51","22","64","65"
"QVfs4oft9h","myxN0","15","61","2","4","26","21"
"GnTzLD0oBO","XEmPb","96","74","56","0","67","58"
"6tbFzjRYce","zOpKF","27","9","77","93","74","56"
"q6Mi5609IF","vVRCm","74","23","95","56","53","60"
"7MHNyAQErU","Nhch2","76","40","36","52","12","43"
"kffHepgTHs","1JofE","90","93","14","77","62","67"
"iQCmmaHzxN","EEyCS","63","3","1","24","12","20"
"7uJXLTtQFT","Oe8jU","39","61","57","13","7","35"
"lMXuqv9hnP","Sl3lq","94","18","2","53","66","46"
"0BHTijpler","3jGgZ","34","98","7","15","23","35"
"LWZxfIvjCF","0rX3q","4","82","26","88","98","59"
"tQ45rIf4WP","qUNib","26","80","26","36","58","45"
"iLfqsvVxpv","Pklm0","41","90","25","30","70","51"
"klWkAtc3bz","TCNbB","28","79","15","74","36","46"
"cneC6qOJQR","USAED","53","20","67","27","99","53"
"buQnIk4eZJ","Z4YWL","30","6","63","60","50","41"
"FhZkq8HsqC","C0lsA","4","58","89","100","57","61"
"0UMcioC9h4","SjYC4","12","97","87","93","43","66"
"UpFe9aKMGC","VGAcv","27","60","74","56","40","51"
"0BleZxD6CH","e3bSU","100","35","70","91","93","77"
"IW3gDDHlri","9IPvp","61","93","65","32","18","53"
"WfJpmvr6jr","jR55q","7","89","51","98","5","50"
"o7sau6nlz1","vX6zE","58","85","85","61","93","76"
"7VrRS1O6Hk","ddH1A","79","84","17","83","85","69"
"ugjCYhLQcB","LTlb4","52","84","41","59","41","55"
"fgiCsbMzJJ","Up2mu","15","36","10","9","40","22"
"IEG5sU5LGF","VrOtz","9","11","5","81","12","23"
"QnvOOdRkji","zxCII","39","36","56","54","33","43"
"SNqskWWuS9","hO0n4","19","42","22","87","8","35"
"aQr0XDzc3N","vN9OF","50","40","52","24","92","51"
"UJIXijUSiZ","mpgio","89","65","81","16","66","63"
"WlYLPQ9R74","qvb0f","63","16","97","86","34","59"
"9KUvekj0AJ","IlSO6","48","99","40","66","17","54"
"NeIz068YIc","VX7pQ","32","57","38","7","83","43"
"n8lgMPm90J","vWgXd","85","64","10","18","6","36"
"EEDJFl1C9m","B1V2v","11","48","73","76","60","53"
"DNyfQBpN2b","pgVVZ","63","45","24","62","74","53"
"vauXr5ZjCX","ZDLZQ","97","49","23","55","98","64"
"jupJ3Igor1","9LPGn","88","83","44","5","45","53"
"9lxoVx1sVZ","hdMCf","44","49","71","73","0","47"
"Cy1NtCRzZn","KiI4f","32","84","93","78","96","76"
"D9ZQKMeMcT","AtnUP","81","83","42","71","48","65"
"SVLUsdGB4A","mijRF","37","41","15","57","56","41"
"OlCYEso3Yf","1zdO8","30","14","47","53","17","32"
"s4VVevASQh","lNuSk","32","8","93","83","95","62"
"oFdZUqsDfW","9h54j","27","51","31","7","72","37"
"F84hC858jz","Ft1Uv","62","54","70","35","90","62"
"RHO9YZSRAQ","jWmRQ","2","23","0","95","45","33"
"16RQ94gQ16","Uf4Ry","9","100","74","94","74","70"
"lrUJnfnV32","0Pvmc","48","45","12","27","7","27"
"OmUiisKiJx","NE262","39","19","28","93","20","39"
"Jy9G5pEJ0f","jG0VG","5","48","50","84","7","38"
"4o87CcqWzN","ti5pB","11","53","2","60","93","43"
"4Hh5QTDnrQ","6Bzre","24","43","19","26","8","24"
"sKyMTz4bB2","odzoZ","43","62","31","95","91","64"
"745SlIPTXA","jTHlG","95","77","53","19","87","66"
"gCne9kHGpm","fB8TN","12","15","5","3","51","17"
"7lLt8CySd9","LnGZL","56","49","82","75","34","59"
"Kq9mmcsNDp","qtnjz","25","13","29","35","100","40"
"kWXNHZ1sy3","fEIBf","16","41","31","54","100","48"
"1rQszYFHZF","4fc61","5","60","68","57","47","47"
"BiyZV52Lff","IET3I","48","54","48","23","69","48"
"9dCkSjPzV1","oaZKf","70","55","60","71","89","69"
"DKBubsfhmR","Ym3Px","45","64","48","28","32","43"
"UkukpZYsmU","b4XTa","94","64","49","63","49","63"
"NJb5BJnFeH","7DEhP","54","46","75","30","34","47"
"B0Rp5zN78Q","i8ERs","89","86","62","37","68","68"
"MUaMWJ7daz","F9n2T","9","2","76","44","77","41"
"VeYjPg3zMI","Rjs8p","43","30","54","72","38","47"
"hd06TSfcUe","YsgXl","44","35","50","43","22","38"
"CDKYPvEsTx","rMeWd","94","66","73","96","33","72"
"xI600mpYF0","Mm0Wq","57","14","28","32","30","32"
"mbidI00xRY","brBR1","39","11","28","92","73","48"
"odn7Lhve04","qSbUL","40","41","83","9","11","36"
"oBmaGMLgkG","YD4fv","1","78","71","51","36","47"
"sG7CN3GkUO","q2FmE","24","21","81","58","95","55"
"AQfMdj6aY5","NbWIY","2","77","7","48","15","29"
"456ySAjTJh","xUWpZ","73","82","25","46","22","49"
"Z97COISN6E","hFnUU","17","62","4","8","45","27"
"z3GupYuGK8","7CyjT","43","99","51","20","40","50"
"fGMSHzAGr5","IDtCY","7","72","80","92","88","67"
"RBp3r31aMI","RhKMP","1","29","68","25","43","33"
"dg4UK0QMeF","4KSMD","58","73","53","2","41","45"
"iLc7vDEgTj","PrZJ7","42","53","70","87","71","64"
"CnT3QZUZT9","7IALx","64","40","19","12","88","44"
"vZcrKllqbJ","zN04F","64","73","54","28","99","63"
"Q01zqUfXDk","kOOg3","48","12","82","52","24","43"
"poQD8UQDax","IKqMs","95","33","10","28","44","42"
"7SDDh1o3hY","kKZGc","97","24","22","2","27","34"
"NrSEPtlnoG","kbkon","81","43","84","16","91","63"
"qKX2aluDmv","0ennG","50","79","33","1","50","42"
"aE6tTSBB9u","W94N2","60","29","17","85","4","39"
"ahz1uWjmft","DeXR1","89","29","11","32","44","41"
"HcmDWQATlc","NiqrP","97","43","28","59","80","61"
"rNe2SGFOEC","xVpmf","84","90","5","84","69","66"
"mNRgkrpI9d","cNLWy","64","2","79","33","67","49"
